 Drummond PSA 10
 
 Date Listing Price
December 3rd, 2020 Auction $94.00
launch
December 1st, 2020 Best Offer $60.00
launch
November 30th, 2020 Auction $114.01
launch
November 13th, 2020 Fixed Price $144.95
launch
November 9th, 2020 Fixed Price $99.99
launch
October 29th, 2020 Auction $53.00
launch
October 28th, 2020 Auction $65.00
launch
October 26th, 2020 Best Offer $117.02
launch
October 20th, 2020 Auction $88.00
launch
September 30th, 2020 Auction $113.00
launch
September 23rd, 2020 Auction $114.27
launch
September 14th, 2020 Auction $152.49
launch
September 13th, 2020 Best Offer $159.99
launch
July 30th, 2020 Auction $77.01
July 30th, 2020 Auction $102.50
July 30th, 2020 Auction $76.00
July 30th, 2020 Auction $86.00
July 29th, 2020 Auction $113.61
July 26th, 2020 Auction $76.02
June 10th, 2020 Auction $38.00
May 26th, 2020 Auction $104.50
April 21st, 2020 Auction $55.00
March 5th, 2020 Auction $22.50
February 25th, 2020 Auction $18.50
February 4th, 2020 Auction $26.00
January 29th, 2020 Auction $23.83
November 20th, 2019 Auction $24.94
October 10th, 2019 Auction $10.50
April 29th, 2019 Auction $15.50
March 25th, 2019 Auction $7.57
March 14th, 2019 Auction $12.50
July 26th, 2018 Auction $8.25
February 24th, 2018 Auction $7.55
February 17th, 2018 Auction $15.50
October 20th, 2017 Auction $16.00
October 8th, 2017 Auction $14.50
July 16th, 2017 Auction $14.50
January 9th, 2017 Auction $23.50
July 9th, 2016 Auction $2.25
January 2nd, 2014 Auction $25.45
  Drummond PSA 9
 
 Date Listing Price
December 16th, 2020 Auction $19.05
launch
October 23rd, 2020 Auction $33.00
launch
October 21st, 2020 Auction $31.00
launch
October 16th, 2020 Fixed Price $29.99
launch
September 27th, 2020 Best Offer $30.00
launch
September 19th, 2020 Best Offer $24.00
launch
August 9th, 2020 Auction $26.00
July 30th, 2020 Auction $18.50
July 28th, 2020 Auction $26.53
July 19th, 2020 Auction $22.50
March 2nd, 2020 Auction $10.49
May 22nd, 2018 Auction $6.50
August 8th, 2017 Auction $3.25
  Draymond PSA 10
 
 Date Listing Price
December 17th, 2020 Fixed Price $225.00
launch
December 15th, 2020 Auction $179.64
launch
December 14th, 2020 Auction $182.50
launch
December 11th, 2020 Fixed Price $225.00
launch
December 8th, 2020 Fixed Price $225.00
launch
December 6th, 2020 Best Offer $200.00
launch
December 5th, 2020 Best Offer $200.00
launch
November 27th, 2020 Best Offer $140.00
launch
November 25th, 2020 Auction $217.50
launch
November 24th, 2020 Auction $207.50
launch
November 15th, 2020 Best Offer $275.00
launch
November 14th, 2020 Fixed Price $265.00
launch
November 10th, 2020 Fixed Price $248.95
launch
November 9th, 2020 Auction $236.00
launch
October 27th, 2020 Fixed Price $210.00
launch
October 21st, 2020 Auction $183.78
launch
October 5th, 2020 Fixed Price $250.00
launch
September 25th, 2020 Auction $267.06
launch
September 23rd, 2020 Auction $233.51
launch
September 22nd, 2020 Auction $224.50
launch
September 22nd, 2020 Auction $205.50
launch
September 14th, 2020 Auction $360.00
launch
September 11th, 2020 Best Offer $350.00
launch
September 7th, 2020 Auction $350.00
September 6th, 2020 Auction $347.00
August 30th, 2020 Auction $367.00
August 27th, 2020 Auction $313.00
August 10th, 2020 Auction $290.00
August 4th, 2020 Auction $238.06
July 28th, 2020 Auction $340.44
July 22nd, 2020 Auction $222.50
July 12th, 2020 Auction $209.50
July 7th, 2020 Auction $188.75
June 18th, 2020 Auction $116.83
June 4th, 2020 Auction $132.50
May 21st, 2020 Auction $148.28
May 18th, 2020 Auction $152.50
May 14th, 2020 Auction $137.50
May 7th, 2020 Auction $102.50
March 21st, 2020 Auction $42.00
November 13th, 2019 Auction $26.00
November 12th, 2019 Auction $31.00
November 6th, 2019 Auction $24.25
November 3rd, 2019 Auction $23.50
September 3rd, 2019 Auction $33.00
August 21st, 2019 Auction $31.00
August 21st, 2019 Auction $33.00
August 21st, 2019 Auction $28.77
August 21st, 2019 Auction $31.00
August 21st, 2019 Auction $31.00
August 21st, 2019 Auction $31.00
August 21st, 2019 Auction $31.00
August 18th, 2019 Auction $37.77
